Feature,Nulos,Pct_Nulos
MATRICULA_G1,989,2.1314655172413794
MATRICULA_G2,989,2.1314655172413794
MATRICULA_G3,989,2.1314655172413794
MATRICULA_G4,989,2.1314655172413794
MATRICULA_G5,989,2.1314655172413794
RATIO_G1,989,2.1314655172413794
RATIO_G2,989,2.1314655172413794
RATIO_G3,989,2.1314655172413794
RATIO_G4,989,2.1314655172413794
RATIO_G5,989,2.1314655172413794
TOTAL_DOCENTES,989,2.1314655172413794
PCT_DOCENTES_FEMENINO,989,2.1314655172413794
PCT_CONTRATO_PERMANENTE,989,2.1314655172413794
PCT_TITULADOS,989,2.1314655172413794
