cod_mod,anexo,pred_retiro_g1,prob_retiro_g1,pred_retiro_g2,prob_retiro_g2,pred_retiro_g3,prob_retiro_g3,pred_retiro_g4,prob_retiro_g4,pred_retiro_g5,prob_retiro_g5
1122464,0,0.0,0.14644891803439586,0.051326461356633164,0.5643616382453502,0.02650727874729502,0.5618051873022497,0.0,0.2878969256344885,0.0,0.3709734611064584
1122381,0,0.023101734376277314,0.5417337702038619,0.0,0.4111531643215792,0.035046104465544556,0.718225420261238,0.0,0.4258249743009336,0.03619241637397231,0.641034693767324
1122068,0,0.0,0.3166658554631682,0.0,0.13517145230347208,0.0,0.4021602430427173,0.0,0.4264680276978364,0.0,0.4930001942006419
1121664,0,0.0,0.14692008364073317,0.0,0.21832452903918426,0.0,0.3605799648257351,0.0,0.34029293794833065,0.0,0.3748454738295516
238667,0,0.016057854437998426,0.6306232372862196,0.01714260463431273,0.6902331034614522,0.024337146409689613,0.631585767201861,0.03695910686588861,0.5230056219028077,0.04562078060238543,0.8283710093867562
238683,0,0.021651868943986498,0.7060304913291051,0.023575307144095295,0.8610324851565162,0.029216954232327036,0.9204862534627111,0.035877675521038405,0.9113302763279675,0.03247342339324464,0.885241301780362
238675,0,0.0,0.1571330627640546,0.01625532802279025,0.5060164248542635,0.027652719603641924,0.766625610503985,0.03233329826417876,0.7299257425445624,0.02439720527861574,0.8384895035526737
238691,0,0.0,0.3540854018610621,0.09222439405734816,0.5738425735495505,0.0,0.1730173514867524,0.0,0.24107205792167577,0.0,0.1604222185119704
1602655,0,0.0,0.29499271286688816,0.0,0.31236499347920516,0.0,0.38908219876702116,0.0,0.2233974996980961,0.0,0.43936812072886816
1602663,0,0.0,0.09303616670198832,0.0,0.4612902726305766,0.0,0.37377075650993213,0.09667297014471292,0.5075344307652496,0.0,0.24970777574233782
1603216,0,0.0,0.25908028344841383,0.0,0.09431275969684941,0.0,0.424220028216976,0.0,0.20939578728266525,0.0,0.4620016663879714
1603661,0,0.0,0.2560660222222984,0.0,0.18050151629358674,0.0,0.34644105018794,0.0,0.15663793898673106,0.0,0.231339366003811
1600279,0,0.0,0.334091277682677,0.0,0.13792525935028863,0.0,0.3703670166629933,0.0,0.40654821257058815,0.19752698778641636,0.5538534269952355
1600295,0,0.016946991810524854,0.5572040828918989,0.0,0.49052546849920536,0.0,0.2983336788857433,0.051258909725442864,0.7130035508532896,0.0,0.49651418917412454
1600337,0,0.0,0.30211744033565224,0.0,0.26328453812925223,0.0,0.3653634103343564,0.0,0.45196669734366995,0.0,0.4303810975133902
1600345,0,0.0,0.32041815534825313,0.0,0.0704528973101937,0.0,0.12905925241585256,0.0,0.08501372449378573,0.0,0.3117380675203768
1600352,0,0.0,0.421179843578977,0.0,0.4099816683185389,0.043055250867353054,0.5966469968412375,0.0,0.2571818805620057,0.0,0.41544703130712024
1600394,0,0.0,0.31669620024343537,0.0,0.3531961851848276,0.0,0.31700825564786117,0.0,0.30557698418230245,0.0,0.3406600053476916
1600402,0,0.0,0.21702260502270404,0.0,0.2991918117715782,0.0,0.28550868175064326,0.0,0.40300347446566614,0.0,0.22530235698853074
806711,0,0.0,0.2560660222222984,0.0,0.18050151629358674,0.0,0.34644105018794,0.0,0.15663793898673106,0.0,0.231339366003811
666438,0,0.0,0.18089404483585367,0.0,0.4292460728024053,0.0,0.24179867916138897,0.0,0.24220883209597627,0.0,0.1164814002423833
