Grado,AUC v1,AUC v2,Δ AUC,F1 v1,F1 v2,Δ F1
G1,0.6825175764504263,0.6835555125770658,0.0010379361266394938,0.3245486615480391,0.3237894736842105,-0.0007591878638285587
G2,0.65988567385107,0.6560713907932636,-0.0038142830578064,0.3266846361185984,0.32076492873895,-0.005919707379648365
G3,0.6655033022220305,0.6673424624659505,0.0018391602439200572,0.33740371970693217,0.3344222131482238,-0.00298150655870838
G4,0.6744056512027518,0.6735353775307541,-0.0008702736719976567,0.33943530871858524,0.3374854675303106,-0.0019498411882746258
G5,0.6852028046556888,0.6855051223739174,0.0003023177182285286,0.32780692549842605,0.32448940637526247,-0.0033175191231635814
