Grado,MAE,RMSE,R²,N_train,N_val,Media_real,Media_pred
G1,0.03735941751071263,0.07954451753980898,0.2809452474266808,1984,1783,0.06930997251822771,0.05733233399568933
G2,0.03964525654213856,0.07881876336383052,0.3218170880452236,2345,2071,0.07730638000965717,0.06504057718899323
G3,0.04216758183938774,0.0764578268497708,0.37198840909414344,2648,2166,0.08278779547553093,0.074914942069851
G4,0.05068898618237538,0.0880993184927784,0.3656774076531095,2873,2206,0.09614407524932005,0.08729657299367213
G5,0.057601657568254375,0.10554982265065163,0.3398279114992917,2660,1932,0.10682994358178054,0.09075827197408877
