Grado,AUC-ROC,F1 (0.5),F1 (óptimo),Threshold óptimo,Positivos train,Positivos val
G1,0.6825175764504263,0.32041567438839574,0.3245486615480391,0.48103822349495307,1984,1783
G2,0.65988567385107,0.3246680381522349,0.3266846361185984,0.4868492888767318,2345,2071
G3,0.6655033022220305,0.3333333333333333,0.33740371970693217,0.5312981591106982,2648,2166
G4,0.6744056512027518,0.33674448353054043,0.33943530871858524,0.49119386433419576,2873,2206
G5,0.6852028046556888,0.3123242349048801,0.32780692549842605,0.5689054501278172,2660,1932
