Grado,Pred = 0,Pred = 1,% Pred = 1,Media final,Media magnitud (pred=1)
G1,12517,2863,18.61508452535761,0.007174559770874209,0.03854164487462289
G2,12152,3228,20.988296488946684,0.009449371607601032,0.045022098923452256
G3,11846,3534,22.977893368010402,0.011756715442080642,0.05116533205976239
G4,11448,3932,25.56566970091027,0.01779440212401991,0.06960272244848073
G5,11137,4243,27.58777633289987,0.021730258200432912,0.07876770471898613
